City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
209,Amnat Charoen,TH,84.31,scattered clouds,15.9167,104.75,หอพักนักศึกษา
211,Geraldton,AU,73.81,clear sky,-28.7667,114.6,Broadwater Mariner Resort
213,Kota Belud,MY,80.46,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
214,Victoria,HK,62.33,scattered clouds,22.2855,114.1577,Mini Hotel Central
217,Ilhabela,BR,73.71,light rain,-23.7781,-45.3581,Ilha Flat Hotel
218,Constitucion,CL,61.9,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
220,Balaipungut,ID,82.81,overcast clouds,1.05,101.2833,
222,Pisco,PE,68.05,smoke,-13.7,-76.2167,Hotel San Isidro Oficial
223,Watsa,CD,92.17,clear sky,3.0372,29.5355,Hôtel Le Pacifique
225,Kahului,US,72.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
226,Farafangana,MG,82.13,clear sky,-22.8167,47.8333,Miarina
228,Inhambane,MZ,87.78,scattered clouds,-23.865,35.3833,Oceano
229,Mayor Pablo Lagerenza,PY,80.76,clear sky,-19.9309,-60.7718,
231,Payakumbuh,ID,71.83,overcast clouds,-0.2202,100.6308,Dalimo Homestay
232,Picota,PE,84.69,overcast clouds,-6.9197,-76.3304,Hospedaje Vanessa
234,Namatanai,PG,79.92,light rain,-3.6667,152.4333,Seagulls Inn Namatani
235,Uarini,BR,78.75,overcast clouds,-2.99,-65.1083,
240,Ahipara,NZ,61.25,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
241,Vangaindrano,MG,83.19,clear sky,-23.35,47.6,Hotel Fanilo
245,Kalakamati,BW,77.77,moderate rain,-20.5929,27.3121,
246,Sur,OM,79.3,clear sky,22.5667,59.5289,Sur Plaza Hotel
249,San Cristobal,VE,64.58,overcast clouds,7.7669,-72.225,Pirineos
251,Muros,ES,63.86,clear sky,42.7762,-9.0603,Apartment Av. Castelao
252,Cidreira,BR,75.18,broken clouds,-30.1811,-50.2056,Hotel Castelo
253,Saldanha,ZA,72.1,few clouds,-33.0117,17.9442,Blue Bay Lodge
255,Gayeri,BF,88.18,clear sky,12.6497,0.4931,
256,Luau,AO,73.94,moderate rain,-10.7073,22.2247,Casa- Bernardo Cândido
257,Arraial Do Cabo,BR,78.76,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
259,Boa Vista,BR,78.78,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
260,Arlit,NE,82.36,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
261,Guerrero Negro,MX,58.42,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
263,Kiunga,PG,73.08,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
264,Buraydah,SA,70.25,clear sky,26.326,43.975,Mövenpick Qassim
265,Ambagarh Chauki,IN,74.48,clear sky,20.7833,80.7167,गाँधी चौक शांति भवन सोनसाय टोला
267,Mount Gambier,AU,62.87,few clouds,-37.8333,140.7667,The Commodore
268,Fare,PF,80.15,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
269,San Quintin,MX,55.4,clear sky,30.4833,-115.95,Don Eddie's Landing
270,Umarkot,PK,83.59,clear sky,25.3616,69.7362,Al-Qamar Boys Hostel
272,Banda Aceh,ID,80.28,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
276,Marsabit,KE,78.82,broken clouds,2.3284,37.9899,Chicho Hotel
